Doc_name,Page_num,Paragraph_num,Paragraph_content,Paragraph_length,SA_label,17 SDG Alignment,GRI Topic Alignment,Informative & Non-Informative/Vague Sustainability Text Identification,Qualitative & Quantitative Sustainability Text Identification,High Potential Greenwashing Detection,Climate Alignment,GRI Climate Alignment,GRI Climate Action (SDG13) Alignment,Climate Action (SDG13) Alignment
Iron2023.pdf,2,1,"This report represents our commitment to enhancing stakeholder awareness of our sustainability priorities and describes how our performance is contributing to long- term value creation and a sustainable, responsible, and customer-centric business model.",28,Relevant,SDG_8: Economic Growth,General,Non-informative/Vague,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,3,1,"Looking back over the last 12 months, the importance of safeguarding each other and the planet we share remains one of our highest priorities and responsibilities.",23,Relevant,SDG_8: Economic Growth,General,Non-informative/Vague,Qualitative,High Potential Greenwashing,Non-Climate,GRI 101,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,3,2,"The ongoing war in Ukraine has been compounded by the conflict in the Middle East, causing even more devastation to already fragile communities.",21,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iron2023.pdf,3,3,"We also saw several acute weather events in markets where Iron Mountain operates. These include Typhoon Doksuri in the Philippines, Hurricane Otis in Mexico, extreme heat in the U.S., Canada, Latin America, Europe and China, and floods in Mexico, Hong Kong, and Western Europe.",34,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iron2023.pdf,3,4,"With this volatility and uncertainty, business must act and operate responsibly, and with resilience and agility, to provide support to our people and communities in the near term, whilst remaining focused on our longer-term commitments. These include achieving net zero greenhouse gas emissions, building a diverse, equitable and inclusive workforce globally, and acting with integrity in everything we do.",49,Relevant,SDG_8: Economic Growth,Environmental,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,3,5,Our purpose—to “protect and elevate the power of our customers’ work”—guides every step of our efforts to develop solutions and services that help our customers not only to achieve the needs of their business but to deliver our products and services in a way that is sustainable and supports our communities. I’m proud of the meaningful progress we continue to make which is thanks to our dedicated Mountaineers around the globe.,64,Relevant,SDG_8: Economic Growth,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,3,6,"Scaling our solutions and capabilities In 2023, we took further significant steps to grow our Asset Lifecycle Management (ALM) business and solutions by announcing our acquisition of Regency Technologies, which closed in early January 2024. This transaction enables us to redefine excellence in IT asset lifecycle management and disposition, offering our customers enhanced environmental sustainability and increased value recovery at the end of the IT asset lifecycle, whilst ensuring data privacy and protection.",66,Relevant,SDG_9: Industry & Innovation,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 306,General Aspect (GRI 2),Climate Action (SDG13)
Iron2023.pdf,3,7,"Securing a sustainable future In 2023, we procured 1,194,957 MWh of renewable electricity, an increase of more than 19% from the previous year. Our fleet electrification program expanded into 12 new countries, and our energy efficiency projects delivered both cost savings and emissions reductions. We also covered 87% of our global electricity use with renewable energy.",46,Relevant,SDG_7: Affordable Energy,Environmental,Informative,Quantitative,Low Potential Greenwashing,Climate,GRI 302,Environmental Aspect (GRI 305),Climate Action (SDG13)
Iron2023.pdf,3,8,"Delivering on our commitments We remain committed to minimizing our GHG emissions across our entire value chain. In 2023, we were able to achieve a 16% reduction in Scope 1 and 2 emissions year-over-year. We are finalizing the work necessary to submit an updated goal to the Science-Based Targets initiative, and look forward to having an approved goal before the end of 2024.",54,Relevant,SDG_13: Climate Action,Environmental,Informative,Quantitative,Low Potential Greenwashing,Climate,GRI 302,Environmental Aspect (GRI 305),Climate Action (SDG13)
Iron2023.pdf,3,9,"I take pride in our progress and accomplishments, whilst remaining determined to do more to advance and accelerate our work. I invite you to learn more about our efforts in this report, knowing we will make transparent updates on our progress and be guided by our core values in everything we do.",48,Relevant,SDG_8: Economic Growth,General,Non-informative/Vague,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
